menu_item,positive,negative,neutral
Chicken Bone Broth,2,0,0
Chicken Dumpling,5,1,0
Lobster Roll,139,7,2
Italian Wedding,14,2,0
Lobster Bisque,240,10,4
Chicken Tortilla,14,0,0
Lentil,19,0,0
Jambalaya,61,2,0
Potato Bacon,6,0,0
Tomato Bisque,4,0,1
Butternut Squash,12,3,0
Vegetarian Soup,1,0,1
Chicken Corn Chowder,5,0,0
New England Clam Chowder,14,0,0
Buffalo Chicken,1,0,0
Cuban Black Bean,3,0,0
Chicken Noodle,13,0,0
Italian Ravioli,3,0,0
Vegetarian Chili,5,1,0
Shrimp Corn Chowder,22,1,0
Potato Soup,2,0,0
Tomato Basil,8,1,0
Minestrone,10,0,0
Lobster Soup,3,0,0
Beef Chili,4,0,0
Split Pea with Ham,2,0,0
Potato Leek,2,0,0
Tomato Soup,3,0,0
Mushroom Barley,2,0,0
Mushroom Soup,1,0,0
Chicken Gumbo,7,1,0
Garden Vegetable,1,0,0
Chicken Soup,0,1,0
Chicken Barley,3,0,0
Chicken Enchilada,3,0,0
Chicken Chili,4,0,0
Broccoli and Cheese,4,0,0
Tomato Corn Chowder,1,0,0
